p0,p1,prediction
0.4484881632681128,0.5515118367318873,0
0.4530699767003276,0.5469300232996723,0
0.44559061452430715,0.5544093854756929,1
0.4404686598069046,0.5595313401930955,1
0.4347217768798577,0.5652782231201424,1
0.4467929962805948,0.5532070037194052,0
0.44597756778095254,0.5540224322190476,0
0.4596743676049495,0.5403256323950503,0
0.46008087174203005,0.5399191282579701,0
0.44553526170886837,0.5544647382911314,1
0.43824145897036804,0.5617585410296321,1
0.41526693620862987,0.5847330637913701,1
0.4357714268229321,0.564228573177068,1
0.43476501736565026,0.5652349826343498,1
0.45618887010234305,0.5438111298976569,0
0.4690002846531727,0.5309997153468274,0
0.4414762270727077,0.5585237729272922,1
0.43472222894100465,0.5652777710589955,1
0.44734927990590817,0.5526507200940919,0
0.4493991554607134,0.5506008445392867,0
0.4456595030564802,0.5543404969435198,1
0.46162611169208995,0.5383738883079101,0
0.44740055983699123,0.5525994401630088,0
0.4384205679234859,0.5615794320765142,1
0.43927329025307427,0.5607267097469258,1
0.45587858133847553,0.5441214186615247,0
0.448180873689479,0.5518191263105209,0
0.44002061071390175,0.5599793892860983,1
0.44820487747920484,0.5517951225207953,0
0.4370232334775377,0.5629767665224622,1
0.4444217903873571,0.555578209612643,1
0.43850908785975934,0.5614909121402406,1
0.4032460206373342,0.5967539793626656,1
0.45174584384991207,0.5482541561500879,0
0.4612306319986503,0.5387693680013497,0
0.4409550083036556,0.5590449916963444,1
0.46091722790022743,0.5390827720997725,0
0.446330605838637,0.553669394161363,0
0.4394852395606032,0.5605147604393969,1
0.443055073200717,0.5569449267992829,1
0.4467238318427152,0.5532761681572848,0
0.427496711607628,0.572503288392372,1
0.462848051005697,0.537151948994303,0
0.4073186038521623,0.5926813961478378,1
0.4427532658332102,0.5572467341667899,1
0.45815968061311174,0.5418403193868883,0
0.44136765126239186,0.5586323487376079,1
0.442255028752928,0.5577449712470722,1
0.4380631895060336,0.5619368104939663,1
0.4579256796927099,0.5420743203072901,0
0.39372158733639206,0.6062784126636078,1
0.43707605987675396,0.562923940123246,1
0.4039878926449422,0.5960121073550576,1
0.43972189137511886,0.5602781086248813,1
0.4532290161707319,0.5467709838292681,0
0.4756415342814706,0.5243584657185292,0
0.4481269508742923,0.5518730491257077,0
0.4510979776736672,0.5489020223263329,0
0.46959174020484384,0.530408259795156,0
0.4426094512875573,0.5573905487124426,1
0.5174662638568965,0.48253373614310346,0
0.44477682879253344,0.5552231712074666,1
0.449182965752768,0.550817034247232,0
